id_deslocamento,id_aluno,tempo_min,qtd_transportes,modal_principal
1,1,77,2,metro
2,2,54,1,onibus
3,3,78,3,a_pe
4,4,34,1,metro
5,5,11,3,a_pe
6,6,18,1,metro
7,7,108,1,bicicleta
8,8,67,3,a_pe
9,9,109,1,onibus
10,10,55,3,metro
11,11,109,2,bicicleta
12,12,46,2,a_pe
13,13,112,2,carro
14,14,87,4,metro
15,15,23,2,metro
16,16,120,2,metro
17,17,37,2,a_pe
18,18,30,4,bicicleta
19,19,97,2,a_pe
20,20,70,1,metro
21,21,48,3,onibus
22,22,42,3,metro
23,23,124,4,bicicleta
24,24,40,4,carro
25,25,83,1,carro
26,26,38,4,carro
27,27,94,1,a_pe
28,28,59,3,metro
29,29,39,3,onibus
30,30,5,3,a_pe
31,31,80,3,onibus
32,32,54,3,metro
33,33,101,3,metro
34,34,27,2,metro
35,35,39,3,carro
36,36,89,2,carro
37,37,98,3,onibus
38,38,78,3,carro
39,39,122,1,bicicleta
40,40,88,4,a_pe
41,41,45,3,a_pe
42,42,22,1,carro
43,43,90,4,onibus
44,44,121,4,a_pe
45,45,27,3,onibus
46,46,18,4,metro
47,47,28,1,carro
48,48,29,4,a_pe
49,49,20,3,bicicleta
50,50,115,3,bicicleta
51,51,123,4,metro
52,52,41,3,bicicleta
53,53,128,2,a_pe
54,54,19,3,metro
55,55,123,2,onibus
56,56,46,4,bicicleta
57,57,22,1,bicicleta
58,58,114,1,bicicleta
59,59,27,1,a_pe
60,60,87,1,bicicleta
61,61,69,2,metro
62,62,9,2,carro
63,63,27,1,onibus
64,64,87,3,metro
65,65,30,3,carro
66,66,67,1,metro
67,67,11,2,a_pe
68,68,115,2,bicicleta
69,69,113,1,metro
70,70,45,1,onibus
71,71,6,2,metro
72,72,66,2,carro
73,73,112,4,bicicleta
74,74,129,2,carro
75,75,105,3,metro
76,76,26,4,onibus
77,77,34,2,metro
78,78,43,1,bicicleta
79,79,5,4,a_pe
80,80,87,1,onibus
81,81,34,4,bicicleta
82,82,18,4,onibus
83,83,105,3,onibus
84,84,119,4,bicicleta
85,85,46,2,carro
86,86,53,1,bicicleta
87,87,70,3,bicicleta
88,88,25,1,bicicleta
89,89,46,1,carro
90,90,15,2,metro
91,91,87,4,a_pe
92,92,128,1,onibus
93,93,128,4,carro
94,94,78,3,onibus
95,95,18,4,onibus
96,96,52,1,metro
97,97,56,3,bicicleta
98,98,97,4,metro
99,99,65,2,carro
100,100,83,1,onibus
101,101,23,3,bicicleta
102,102,78,4,bicicleta
103,103,40,2,carro
104,104,102,2,metro
105,105,77,4,bicicleta
106,106,122,4,a_pe
107,107,14,3,carro
108,108,130,2,bicicleta
109,109,93,3,bicicleta
110,110,123,3,a_pe
111,111,15,3,a_pe
112,112,90,4,onibus
113,113,10,4,onibus
114,114,81,1,onibus
115,115,34,3,metro
116,116,33,4,metro
117,117,120,3,bicicleta
118,118,24,1,a_pe
119,119,27,2,carro
120,120,6,3,onibus
121,121,52,3,bicicleta
122,122,128,4,a_pe
123,123,36,1,carro
124,124,90,2,bicicleta
125,125,64,1,a_pe
126,126,19,1,carro
127,127,43,2,onibus
128,128,19,3,bicicleta
129,129,37,1,bicicleta
130,130,23,4,carro
131,131,90,3,onibus
132,132,65,2,metro
133,133,55,4,a_pe
134,134,44,1,carro
135,135,33,1,metro
136,136,105,4,carro
137,137,7,1,onibus
138,138,77,1,onibus
139,139,110,1,onibus
140,140,119,4,metro
141,141,76,2,metro
142,142,40,3,metro
143,143,25,4,carro
144,144,103,3,bicicleta
145,145,110,3,onibus
146,146,90,1,bicicleta
147,147,67,3,carro
148,148,13,4,bicicleta
149,149,19,3,carro
150,150,116,2,a_pe
151,151,79,1,metro
152,152,39,3,bicicleta
153,153,96,3,bicicleta
154,154,127,2,onibus
155,155,129,3,bicicleta
156,156,39,1,bicicleta
157,157,10,1,onibus
158,158,127,1,a_pe
159,159,80,3,a_pe
160,160,83,1,bicicleta
161,161,73,2,metro
162,162,124,2,onibus
163,163,55,4,bicicleta
164,164,127,2,a_pe
165,165,107,4,carro
166,166,7,2,onibus
167,167,62,3,onibus
168,168,48,1,a_pe
169,169,40,1,bicicleta
170,170,19,1,a_pe
171,171,62,1,onibus
172,172,78,1,a_pe
173,173,84,4,carro
174,174,17,1,carro
