id_tempo,data,mes,ano,semestre_letivo,ano_semestre
1,2020-10-03,10,2020,2,2020/2
2,2024-06-28,6,2024,1,2024/1
3,2022-07-25,7,2022,2,2022/2
4,2022-06-30,6,2022,1,2022/1
5,2021-10-12,10,2021,2,2021/2
6,2021-04-24,4,2021,1,2021/1
7,2023-10-14,10,2023,2,2023/2
8,2023-06-04,6,2023,1,2023/1
9,2024-10-17,10,2024,2,2024/2
10,2023-03-05,3,2023,1,2023/1
11,2021-11-08,11,2021,2,2021/2
12,2021-06-14,6,2021,1,2021/1
13,2024-12-02,12,2024,2,2024/2
14,2021-03-06,3,2021,1,2021/1
15,2023-10-22,10,2023,2,2023/2
16,2020-07-10,7,2020,2,2020/2
17,2023-12-01,12,2023,2,2023/2
18,2023-07-08,7,2023,2,2023/2
19,2023-07-13,7,2023,2,2023/2
20,2023-08-28,8,2023,2,2023/2
21,2022-05-26,5,2022,1,2022/1
22,2020-07-11,7,2020,2,2020/2
23,2024-09-08,9,2024,2,2024/2
24,2020-05-30,5,2020,1,2020/1
25,2023-01-10,1,2023,1,2023/1
26,2022-04-13,4,2022,1,2022/1
27,2023-04-24,4,2023,1,2023/1
28,2022-11-25,11,2022,2,2022/2
29,2020-08-15,8,2020,2,2020/2
30,2024-12-14,12,2024,2,2024/2
31,2021-07-25,7,2021,2,2021/2
32,2024-05-10,5,2024,1,2024/1
33,2024-01-03,1,2024,1,2024/1
34,2020-12-18,12,2020,2,2020/2
35,2023-08-28,8,2023,2,2023/2
36,2024-11-14,11,2024,2,2024/2
37,2020-08-24,8,2020,2,2020/2
38,2022-11-04,11,2022,2,2022/2
39,2022-01-27,1,2022,1,2022/1
40,2023-03-26,3,2023,1,2023/1
41,2021-01-04,1,2021,1,2021/1
42,2023-03-06,3,2023,1,2023/1
43,2021-05-09,5,2021,1,2021/1
44,2020-04-15,4,2020,1,2020/1
45,2020-02-21,2,2020,1,2020/1
46,2024-12-05,12,2024,2,2024/2
47,2021-08-27,8,2021,2,2021/2
48,2023-10-16,10,2023,2,2023/2
49,2021-07-16,7,2021,2,2021/2
50,2023-05-26,5,2023,1,2023/1
51,2020-10-23,10,2020,2,2020/2
52,2020-11-17,11,2020,2,2020/2
53,2023-04-06,4,2023,1,2023/1
54,2021-06-29,6,2021,1,2021/1
55,2022-04-25,4,2022,1,2022/1
56,2024-06-20,6,2024,1,2024/1
57,2024-11-13,11,2024,2,2024/2
58,2023-02-03,2,2023,1,2023/1
59,2023-07-03,7,2023,2,2023/2
60,2022-08-16,8,2022,2,2022/2
61,2022-04-01,4,2022,1,2022/1
62,2023-07-12,7,2023,2,2023/2
63,2020-07-27,7,2020,2,2020/2
64,2022-04-14,4,2022,1,2022/1
65,2024-08-10,8,2024,2,2024/2
66,2022-04-21,4,2022,1,2022/1
67,2024-05-08,5,2024,1,2024/1
68,2020-09-12,9,2020,2,2020/2
69,2020-08-26,8,2020,2,2020/2
70,2023-01-01,1,2023,1,2023/1
71,2022-02-01,2,2022,1,2022/1
72,2022-08-06,8,2022,2,2022/2
73,2020-03-15,3,2020,1,2020/1
74,2024-03-07,3,2024,1,2024/1
75,2020-04-11,4,2020,1,2020/1
76,2020-07-10,7,2020,2,2020/2
77,2024-08-28,8,2024,2,2024/2
78,2020-02-11,2,2020,1,2020/1
79,2024-09-30,9,2024,2,2024/2
80,2023-03-20,3,2023,1,2023/1
81,2020-11-17,11,2020,2,2020/2
82,2020-05-02,5,2020,1,2020/1
83,2024-09-23,9,2024,2,2024/2
84,2024-06-21,6,2024,1,2024/1
85,2022-08-31,8,2022,2,2022/2
86,2021-04-17,4,2021,1,2021/1
87,2022-06-26,6,2022,1,2022/1
88,2023-02-03,2,2023,1,2023/1
89,2023-12-01,12,2023,2,2023/2
90,2022-06-13,6,2022,1,2022/1
91,2022-04-02,4,2022,1,2022/1
92,2021-10-20,10,2021,2,2021/2
93,2022-01-05,1,2022,1,2022/1
94,2023-09-30,9,2023,2,2023/2
95,2024-07-01,7,2024,2,2024/2
96,2022-08-27,8,2022,2,2022/2
97,2024-12-30,12,2024,2,2024/2
98,2020-08-24,8,2020,2,2020/2
99,2023-05-31,5,2023,1,2023/1
100,2021-11-19,11,2021,2,2021/2
