id_fato,id_aluno,id_disciplina,id_curso,id_tempo,nota,aprovado,reprovado,faltas,presencas,freq_percent
1,3787,6,2,21,0.6,0,1,3,76,0.9620253164556962
2,4948,3,1,52,1.8,0,1,2,77,0.9746835443037974
3,3427,6,2,31,9.5,1,0,22,74,0.7708333333333334
4,168,4,1,80,7.9,1,0,13,75,0.8522727272727273
5,1918,5,2,55,4.0,0,1,13,75,0.8522727272727273
6,2458,1,4,38,6.3,1,0,21,74,0.7789473684210526
7,1961,1,4,70,2.1,0,1,23,81,0.7788461538461539
8,2953,3,1,97,8.3,1,0,11,51,0.8225806451612904
9,389,6,2,22,2.4,0,1,4,59,0.9365079365079365
10,2385,4,1,68,1.5,0,1,12,54,0.8181818181818182
11,4734,1,4,79,6.9,1,0,8,79,0.9080459770114943
12,2515,4,1,54,9.5,1,0,28,59,0.6781609195402298
13,770,6,2,71,0.4,0,1,26,52,0.6666666666666666
14,573,2,2,85,5.6,0,1,15,62,0.8051948051948052
15,3616,3,1,44,0.0,0,1,23,93,0.8017241379310345
16,2715,8,5,22,5.7,1,0,6,56,0.9032258064516129
17,567,11,3,30,5.5,1,0,25,60,0.7058823529411765
18,589,8,5,50,9.7,1,0,21,98,0.8235294117647058
19,1885,11,3,62,1.5,0,1,15,50,0.7692307692307693
20,2823,14,3,76,8.0,1,0,0,65,1.0
21,1568,6,2,79,6.9,1,0,3,50,0.9433962264150944
22,961,12,3,47,0.7,0,1,29,42,0.5915492957746479
23,249,10,4,77,9.7,1,0,3,51,0.9444444444444444
24,4832,9,6,24,9.8,1,0,26,57,0.6867469879518072
25,4283,15,5,56,0.9,0,1,21,45,0.6818181818181818
26,795,1,4,25,8.8,1,0,29,73,0.7156862745098039
27,216,8,5,60,8.7,1,0,2,43,0.9555555555555556
28,4833,2,2,22,0.6,0,1,21,56,0.7272727272727273
29,2798,14,3,87,5.8,1,0,16,70,0.813953488372093
30,4980,6,2,78,9.1,1,0,12,54,0.8181818181818182
31,4274,11,3,39,3.2,0,1,10,86,0.8958333333333334
32,2258,14,3,51,5.5,1,0,3,79,0.9634146341463414
33,3419,7,1,23,8.3,1,0,28,92,0.7666666666666667
34,388,1,4,25,8.7,1,0,7,65,0.9027777777777778
35,1611,8,5,100,8.7,1,0,26,62,0.7045454545454546
36,3920,15,5,97,8.1,1,0,16,44,0.7333333333333333
37,2714,2,2,89,5.4,1,0,22,40,0.6451612903225806
38,3731,8,5,70,2.3,0,1,24,67,0.7362637362637363
39,4313,3,1,53,0.6,0,1,22,93,0.808695652173913
40,2481,7,1,34,9.0,1,0,26,62,0.7045454545454546
41,2986,8,5,45,8.9,1,0,2,43,0.9555555555555556
42,360,15,5,18,9.9,1,0,27,67,0.7127659574468085
43,4577,10,4,91,4.4,0,1,27,100,0.7874015748031497
44,1497,8,5,41,4.4,0,1,2,57,0.9661016949152542
45,4288,10,4,9,1.8,0,1,11,62,0.8493150684931506
46,1077,10,4,13,6.8,1,0,11,52,0.8253968253968254
47,4989,14,3,64,5.7,1,0,8,68,0.8947368421052632
