id_evento,id_aluno,tipo_evento,motivo,id_tempo,semestre_evento,id_curso
1,2705,troca_turno,Trabalho,31,4º Semestre,2
2,4437,troca_turno,Distancia,95,5º Semestre,2
3,3013,evasao,Desmotivacao,8,1º Semestre,5
4,2471,troca_turno,Distancia,27,1º Semestre,4
5,3797,evasao,Trabalho,28,2º Semestre,5
6,294,jubilamento,Problemas pessoais,49,6º Semestre,1
7,1375,jubilamento,Distancia,55,1º Semestre,2
8,3383,evasao,Trabalho,20,2º Semestre,4
9,1209,troca_turno,Trabalho,100,3º Semestre,6
10,1893,jubilamento,Desmotivacao,20,6º Semestre,1
11,1710,evasao,Distancia,61,5º Semestre,6
12,4879,troca_turno,Distancia,24,6º Semestre,4
13,3618,evasao,Financeiro,98,3º Semestre,6
14,214,evasao,Desmotivacao,22,3º Semestre,6
15,2590,evasao,Distancia,11,2º Semestre,6
16,4472,troca_turno,Financeiro,65,2º Semestre,2
17,1591,troca_turno,Problemas pessoais,56,2º Semestre,2
18,3350,jubilamento,Distancia,33,1º Semestre,1
19,864,trancamento,Problemas pessoais,22,3º Semestre,5
20,817,jubilamento,Problemas pessoais,62,2º Semestre,5
21,1643,troca_turno,Desmotivacao,52,4º Semestre,1
22,3652,trancamento,Distancia,94,6º Semestre,5
23,147,jubilamento,Mudanca de cidade,3,3º Semestre,2
24,2533,jubilamento,Financeiro,72,6º Semestre,3
25,4080,trancamento,Trabalho,3,1º Semestre,2
26,3643,jubilamento,Insatisfacao com curso,72,5º Semestre,5
27,3389,trancamento,Insatisfacao com curso,70,1º Semestre,1
28,3554,jubilamento,Financeiro,17,3º Semestre,5
29,1583,trancamento,Mudanca de cidade,43,2º Semestre,6
30,3233,trancamento,Mudanca de cidade,28,1º Semestre,4
31,1347,trancamento,Distancia,60,3º Semestre,4
32,1775,evasao,Distancia,87,6º Semestre,5
33,878,troca_turno,Trabalho,29,2º Semestre,5
34,3108,evasao,Insatisfacao com curso,73,2º Semestre,4
35,2322,trancamento,Distancia,21,2º Semestre,2
36,2682,jubilamento,Problemas pessoais,49,6º Semestre,2
37,3299,troca_turno,Distancia,49,4º Semestre,5
38,841,trancamento,Mudanca de cidade,73,4º Semestre,2
39,1608,evasao,Distancia,37,1º Semestre,3
40,4594,jubilamento,Problemas pessoais,76,4º Semestre,4
41,4816,jubilamento,Problemas pessoais,58,1º Semestre,6
42,3293,trancamento,Reprovacoes acumuladas,96,4º Semestre,5
43,2351,jubilamento,Mudanca de cidade,40,6º Semestre,5
44,2048,evasao,Financeiro,71,1º Semestre,3
45,2615,evasao,Mudanca de cidade,96,3º Semestre,1
46,1649,troca_turno,Reprovacoes acumuladas,84,4º Semestre,6
47,1341,trancamento,Problemas pessoais,87,6º Semestre,1
48,4364,jubilamento,Reprovacoes acumuladas,41,1º Semestre,3
49,4920,jubilamento,Insatisfacao com curso,18,6º Semestre,6
50,1302,evasao,Mudanca de cidade,5,6º Semestre,3
51,3437,evasao,Reprovacoes acumuladas,18,4º Semestre,4
52,652,trancamento,Insatisfacao com curso,59,5º Semestre,6
53,580,trancamento,Mudanca de cidade,59,6º Semestre,6
54,1801,evasao,Problemas pessoais,71,1º Semestre,2
55,2170,trancamento,Reprovacoes acumuladas,55,1º Semestre,3
56,147,troca_turno,Financeiro,51,3º Semestre,1
57,2583,trancamento,Distancia,4,2º Semestre,3
58,928,evasao,Reprovacoes acumuladas,28,4º Semestre,2
59,3543,troca_turno,Mudanca de cidade,32,5º Semestre,3
60,3525,evasao,Reprovacoes acumuladas,83,2º Semestre,4
61,1262,jubilamento,Mudanca de cidade,88,4º Semestre,3
62,2306,evasao,Financeiro,14,6º Semestre,1
